id,authorId,content,contentVector,createdAt,moderationReason,status,updatedAt,_CategoryToPost,Attachment,Comment,Like
efbae7de-7988-41d8-ae4b-43b30663e495,da5067ec-f3ee-4cc9-8111-31d5f71e5ac9,"‼️ CHÍNH THỨC: DANH SÁCH  🇪🇺 4 TẤM VÉ TRỰC TIẾP DỰ 𝐖𝐎𝐑𝐋𝐃 𝐂𝐔𝐏 KHU VỰC CHÂU ÂU SẮP CÓ CHỦ

VÉ THỨ 43
Bosnia and Herzegovina 🇧🇦 vs 🇮🇹 Italy

VÉ THỨ 44
Thuỵ Điển 🇸🇪 vs 🇵🇱 Ba Lan.

VÉ THỨ 45
Kosovo 🇽🇰 vs 🇹🇷 Thổ Nhĩ Kỳ

VÉ THỨ 46
CH Séc 🇨🇿 vs 🇩🇰 Đan Mạch

Thời gian thi đấu: 01h45, ngày 1/4

Các đội thắng mỗi cặp sẽ giành vé trực tiếp đi World Cup. Ae dự đoán xem nào 🗣️🗣️",,2026-03-26T00:16:58.196Z,,PUBLISHED,2026-03-30T00:16:58.196Z,,,,
efc925a3-1100-4e05-bd49-c31715d750f4,2be0df6d-8cc8-47c0-8130-21581a18ab30,(No text content),,2026-03-22T00:13:00.830Z,,PUBLISHED,2026-03-30T00:13:00.830Z,,,,
effe37e4-e8f6-44d3-94f3-b06b55789895,65c3ee41-578f-48ba-8572-70f3993e3105,This hero bus driver did the kindest thing for a lost dog alone in the rain ❤️,,2026-03-24T00:10:58.271Z,,PUBLISHED,2026-03-30T00:10:58.271Z,,,,
f006c7aa-bbb9-4fa4-846d-8253bc6345da,bb264706-0be1-43ae-997a-138bca242377,"In a surprising turn of events, President Trump has claimed that Iran has provided the United States with ""eight boats of oil,"" a move he described as a diplomatic ""present"" or ""gesture"" during ongoing indirect negotiations. This development follows a period of extreme tension in the Strait of Hormuz, where Iran has effectively implemented a ""toll booth"" system, selectively allowing certain tankers to pass through the critical chokepoint.

The arrival of these eight tankers—reportedly VLCCs (Very Large Crude Carriers)—represents a significant, albeit symbolic, release of pressure on global energy markets. While this doesn't fully resolve the broader energy crisis, it suggests that the ""maximum pressure"" campaign may be yielding specific concessions from Tehran as they seek an off-ramp from the current military confrontation.

Strategic analysts are viewing this as a tactical move by the Iranian leadership to signal their willingness to negotiate while still maintaining control over the primary energy corridor. By specifically directing this ""present"" toward the U.S., Tehran may be attempting to bypass more hawkish regional players and establish a direct line of de-escalation with Washington.

However, the Pentagon remains cautious, noting that despite this gesture, the IRGC Navy continues to maintain a high level of readiness and has not fully withdrawn its threats against other international shipping. The ""toll booth"" system remains a point of contention for G7 leaders, who argue that maritime trade should not be subject to the whims of a single nation’s political strategy.

As the 48-hour deadline for the current strike pause draws near, this ""oil gesture"" adds a layer of complexity to the upcoming diplomatic summit. Whether this will lead to a broader reopening of the Strait or is simply a one-time maneuver to buy time remains to be seen.

#Trump #Iran #Oil #StraitOfHormuz #BreakingNews #Geopolitics",,2026-03-25T00:15:43.980Z,,PUBLISHED,2026-03-30T00:15:43.980Z,,,,
f0094a48-55b4-43a7-9e33-f828cb355d39,30136847-6d1f-422e-8305-905be06557ab,"🥇✨👏 KHEN THƯỞNG SINH VIÊN BÁCH KHOA DŨNG CẢM CỨU NGƯỜI

---
📝 Quyền Bộ trưởng Bộ Giáo dục và Đào tạo Hoàng Minh Sơn đã ký Quyết định số 701/QĐ-BGDĐT tặng Bằng khen cho sinh viên Nguyễn Lê Tú (lớp Vật lý 08-K69, Khoa Vật lý kỹ thuật, Đại học Bách khoa Hà Nội) vì hành động dũng cảm cứu người.

---
📸 Hình ảnh Tú trong vụ cháy được chia sẻ trên không gian mạng",,2026-03-20T00:14:48.859Z,,PUBLISHED,2026-03-30T00:14:48.859Z,,,,
f02e7917-51fb-4208-b7f6-ea22bd2ed908,cd18b325-af17-4a51-899b-d917f57eb898,The DOJ’s recent release of millions of documents relating to Epstein has shed new light into his final hours and what prison guards were doing at the time. But they’ve done little to dispel conspiracy theories about the nature of Epstein’s death. https://cnn.it/4rZjox4,,2026-03-12T00:15:26.313Z,,PUBLISHED,2026-03-30T00:15:26.313Z,,,,
f037b3be-3d93-4527-b8e1-99aad031a3d8,5a3c02df-6c93-4aae-b63e-f598c32df599,The artist will be the subject of her first major museum exhibition in Finland this September.,,2026-03-13T00:11:30.613Z,,PUBLISHED,2026-03-30T00:11:30.613Z,,,,
f06ac526-807b-4bf0-ad3e-804763df75f0,06339fa5-01b2-495c-8f7d-a40e941ceecf,"Điểm tin ngày 26/3: Xác định nguyên nhân ban đầu vụ ô tô Lexus tông loạt xe ở Hà Nội, Loạt vi phạm của Bảo Tín Minh Châu đã bị chuyển hồ sơ sang công an,... cùng một số tin tức khác.",,2026-03-22T00:15:04.280Z,,PUBLISHED,2026-03-30T00:15:04.280Z,,,,
f093542c-e93e-4c41-af88-1651a29d4333,cd3224bd-214e-416f-a240-a21462850c9a,"We all know which bird I am on Sunday's AM I RIGHT!?? 🦢🥸 But for real, if you're down with birds, you should watch more bird fails here: https://youtu.be/DJBPj7wiPcQ",,2026-03-04T00:10:58.885Z,,PUBLISHED,2026-03-30T00:10:58.885Z,,,,
f0adf577-8846-4ebd-b004-6a48cb4c07d3,cd18b325-af17-4a51-899b-d917f57eb898,The first batch of files relating to Peter Mandelson's appointment as British ambassador to the US have released by the UK government.,,2026-03-25T00:15:26.314Z,,PUBLISHED,2026-03-30T00:15:26.314Z,,,,
